"filename","filepath","method","complex","sim_id","K","E","VAF","rep","Q1","Q2","Q3","Q4","Q5","Qvect_string","ari","tucker_S","runtime","seed","tuckercheck_1","tuckercheck_2","tuckercheck_mean","tuckercheck_min","tuckercheck_max","tuckercheck_length","loss_type","loss_min","loss_max","loss_mean","loss_sd","loss_length","collection_timestamp"
"result_vaf_3_sim_1_K3_Q2_2_2_E0.2_VAF0.7_rep1.RData","results/result_vaf_3_sim_1_K3_Q2_2_2_E0.2_VAF0.7_rep1.RData","vaf",3,1,3,0.2,0.7,1,2,2,2,NA,NA,"2_2_2",0.00403944918193498,0.248531705192083,4.15814642508825,1,0.000737199893440839,-0.00124760005136952,-0.000255200078964338,-0.00124760005136952,0.000737199893440839,2,"aicloss",3233392.69955394,3234400.86922863,3233931.25378883,222.728906679099,100,2025-07-01 10:08:10.51074
"result_vaf_4_sim_1_K3_Q2_2_2_E0.2_VAF0.7_rep1.RData","results/result_vaf_4_sim_1_K3_Q2_2_2_E0.2_VAF0.7_rep1.RData","vaf",4,1,3,0.2,0.7,1,2,2,2,NA,NA,"2_2_2",0.0181323232323232,0.244880969756361,4.29115655819575,1,0.000737199893440839,-0.00124760005136952,-0.000255200078964338,-0.00124760005136952,0.000737199893440839,2,"aicloss",3413224.75113708,3414464.36908753,3413912.87991307,232.792421408494,100,2025-07-01 10:08:10.51074
"result_vaf_6_sim_1_K3_Q2_2_2_E0.2_VAF0.7_rep1.RData","results/result_vaf_6_sim_1_K3_Q2_2_2_E0.2_VAF0.7_rep1.RData","vaf",6,1,3,0.2,0.7,1,2,2,2,NA,NA,"2_2_2",0.0125618697415874,0.24792188147535,4.18070102532705,1,0.000737199893440839,-0.00124760005136952,-0.000255200078964338,-0.00124760005136952,0.000737199893440839,2,"aicloss",5033318.3507974,5034423.87658814,5033933.9462122,198.055297441572,100,2025-07-01 10:08:10.51074
"result_vaf_7_sim_1_K3_Q2_2_2_E0.2_VAF0.7_rep1.RData","results/result_vaf_7_sim_1_K3_Q2_2_2_E0.2_VAF0.7_rep1.RData","vaf",7,1,3,0.2,0.7,1,2,2,2,NA,NA,"2_2_2",-0.00431695150903917,0.249107876722868,4.0834051767985,1,0.000737199893440839,-0.00124760005136952,-0.000255200078964338,-0.00124760005136952,0.000737199893440839,2,"aicloss",5213343.29748644,5214504.62022381,5213995.86075201,216.793077397972,100,2025-07-01 10:08:10.51074
"result_chull_0_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_chull_0_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","chull",0,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",0.00954158860261802,0.345735581673199,4.77552347977956,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",233325.34473547,242314.284248241,235333.314889637,1826.90817450876,100,2025-07-01 10:08:10.51074
"result_chull_1_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_chull_1_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","chull",1,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",0.0054140493570732,0.342749265511352,4.2790674050649,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",239201.121701873,245412.217216978,241045.613511464,1423.43550943794,100,2025-07-01 10:08:10.51074
"result_chull_3_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_chull_3_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","chull",3,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",-0.0023616973352465,0.272418921272708,7.08701303799947,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",932855.513932874,3234807.79670447,2060052.03832873,1150990.63848049,100,2025-07-01 10:08:10.51074
"result_chull_4_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_chull_4_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","chull",4,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",0.456430186124684,0.532326779184801,6.99838609695435,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",1097463.59276273,3414550.75380199,2288975.48801038,1153620.34523213,100,2025-07-01 10:08:10.51074
"result_chull_6_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_chull_6_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","chull",6,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",-0.0023616973352465,0.272418921272708,6.88788825670878,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",1292855.51393287,5034574.42700463,2979862.32653179,1867407.83929306,100,2025-07-01 10:08:10.51074
"result_chull_7_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_chull_7_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","chull",7,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",0.449978850659585,0.584924629587519,7.25465221007665,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",1455696.9261399,5214806.65509694,3121800.80644037,1863879.76012983,100,2025-07-01 10:08:10.51074
"result_origin_max_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_origin_max_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","origin_max",NA,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",-0.00644917223007297,0.328865794095821,1.82218265136083,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"ssloss",1522.26000342339,1565.12715695114,1537.32616646591,6.92591560611377,100,2025-07-01 10:08:10.51074
"result_origin_min_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_origin_min_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","origin_min",NA,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",0.979916681017787,0.828172237570576,1.89769185781479,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"ssloss",1974.81978526007,2378.36523003685,2162.90556285787,112.254334704549,100,2025-07-01 10:08:10.51074
"result_vaf_0_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_vaf_0_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","vaf",0,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",-0.0031422105297889,0.339717784828854,3.9769504626592,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",233388.503484762,234572.086874188,233998.726392886,247.685600824589,100,2025-07-01 10:08:10.51074
"result_vaf_1_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_vaf_1_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","vaf",1,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",-0.00230358619753907,0.346316461733877,3.70423360268275,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",239399.025875772,240462.085312622,239993.042597328,236.713083493081,100,2025-07-01 10:08:10.51074
"result_vaf_3_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_vaf_3_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","vaf",3,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",-0.00240425446311407,0.343232655257216,3.65913368860881,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",3233439.62609357,3234764.43566241,3234053.92325895,241.367355265184,100,2025-07-01 10:08:10.51074
"result_vaf_4_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_vaf_4_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","vaf",4,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",-0.00364296578887528,0.343713656471057,3.71085920731227,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",3413303.42882123,3414625.09681968,3414014.73955163,261.084063210198,100,2025-07-01 10:08:10.51074
"result_vaf_6_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_vaf_6_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","vaf",6,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",0.0100784511784512,0.347556790060219,3.63363792101542,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",5033524.15660735,5034554.11139467,5034047.14012543,221.074705229228,100,2025-07-01 10:08:10.51074
"result_vaf_7_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","results/result_vaf_7_sim_2_K3_Q2_2_6_E0.2_VAF0.7_rep1.RData","vaf",7,2,3,0.2,0.7,1,2,2,6,NA,NA,"2_2_6",0.00732741069371036,0.346252866794138,3.66779626210531,2,-0.00272788361040748,0.0014006308823387,-0.000663626364034392,-0.00272788361040748,0.0014006308823387,2,"aicloss",5213348.54276218,5214502.45343504,5213977.95203614,246.117644047963,100,2025-07-01 10:08:10.51074
"result_chull_0_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_chull_0_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","chull",0,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.230007227026897,0.491835721275516,9.40063050587972,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",238403.982900876,318886.857816941,252270.875145458,11526.4336579121,100,2025-07-01 10:08:10.51074
"result_chull_1_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_chull_1_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","chull",1,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.279381419373495,0.511268784985464,9.0447674870491,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",245240.376729779,282285.631088038,257122.427039145,8559.78787916274,100,2025-07-01 10:08:10.51074
"result_chull_3_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_chull_3_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","chull",3,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.462484431454785,0.572673266378018,6.337943983078,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",924556.47368573,3251802.0354065,1206523.21640808,696979.140467642,100,2025-07-01 10:08:10.51074
"result_chull_4_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_chull_4_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","chull",4,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.436360143621659,0.632382937520791,6.04332293669383,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",1103948.58799029,3432575.50535764,1324631.67819608,616799.282850384,100,2025-07-01 10:08:10.51074
"result_chull_6_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_chull_6_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","chull",6,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.467553081627596,0.568044034714699,6.10555158853531,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",1283077.74009206,5050892.97758539,1616656.51320109,1042862.09920432,100,2025-07-01 10:08:10.51074
"result_chull_7_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_chull_7_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","chull",7,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.418876690286409,0.503405021646295,6.10241836309433,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",1460489.72442296,5230652.47232874,1573618.35803317,575124.017520712,100,2025-07-01 10:08:10.51074
"result_origin_max_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_origin_max_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","origin_max",NA,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.342127441468093,0.507278194259419,3.98358754316966,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"ssloss",1555.9364413128,1794.48588625517,1671.94430505033,70.5754509246187,100,2025-07-01 10:08:10.51074
"result_origin_min_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_origin_min_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","origin_min",NA,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.960185700965085,0.625632713335973,2.90454472700755,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"ssloss",2429.45735791875,2665.42083924645,2462.19479057557,59.0523505413707,100,2025-07-01 10:08:10.51074
"result_vaf_0_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_vaf_0_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","vaf",0,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.248085711228966,0.496172267098263,9.44595048030217,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",237901.932916285,252968.613256217,246286.152890963,4495.03475844828,100,2025-07-01 10:08:10.51074
"result_vaf_1_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_vaf_1_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","vaf",1,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.263325135230094,0.495966986128766,9.23068484067917,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",243850.86437711,259970.808765873,253101.233025292,4607.60795228746,100,2025-07-01 10:08:10.51074
"result_vaf_3_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_vaf_3_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","vaf",3,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.232253905969726,0.493944797771691,8.46881341934204,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",3237764.78634038,3253194.97564353,3247225.55597048,4421.1320521627,100,2025-07-01 10:08:10.51074
"result_vaf_4_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","results/result_vaf_4_sim_3_K3_Q2_5_8_E0.2_VAF0.7_rep1.RData","vaf",4,3,3,0.2,0.7,1,2,5,8,NA,NA,"2_5_8",0.22759666406304,0.493957938266141,8.56772898832957,3,0.00136524381907209,-0.00284599141214,-0.000740373796533958,-0.00284599141214,0.00136524381907209,2,"aicloss",3418491.27350665,3434021.74637333,3427867.0397992,4054.63748820946,100,2025-07-01 10:08:10.51074
